Dataset,Users,Items,Interactions,Density,Best_Epoch,Recall@1,Recall@10,Recall@20,NDCG@10,NDCG@20,Gain_Rec@20_vs_BL,Gain_NDCG@20_vs_BL,Fit_Time_sec,Fit_Time_min,VRAM_MB
Amazon Baby,19445,7050,160792,0.001173,260,0.0123,0.0674,0.1024,0.0359,0.0448,-1.73%,-1.32%,1399.06,23.32,609.2
Amazon Sports,35598,18357,296337,0.000454,500,0.0152,0.0753,0.1118,0.0414,0.0508,+0.63%,+1.60%,3165.23,52.75,781.5
Amazon Electronics,192403,63001,1689188,0.000139,490,0.0099,0.0457,0.068,0.0257,0.0314,+2.26%,+3.63%,21622.97,360.38,1420.0
